company_name,country,assets,date,price,sector,operating,debt_to_assets,age
adidas,germany,15176.0,2016-06-24T00:00:00.000Z,119.7,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-27T00:00:00.000Z,120.415,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-28T00:00:00.000Z,123.102,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-29T00:00:00.000Z,126.198,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-30T00:00:00.000Z,128.76,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-01T00:00:00.000Z,127.319,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-04T00:00:00.000Z,127.651,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-05T00:00:00.000Z,124.8,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-06T00:00:00.000Z,127.452,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-07T00:00:00.000Z,125.908,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-08T00:00:00.000Z,126.512,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-11T00:00:00.000Z,128.709,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-12T00:00:00.000Z,130.202,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-13T00:00:00.000Z,130.712,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-14T00:00:00.000Z,129.439,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-15T00:00:00.000Z,131.443,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-18T00:00:00.000Z,131.033,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-19T00:00:00.000Z,132.248,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-20T00:00:00.000Z,136.013,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-21T00:00:00.000Z,137.379,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-22T00:00:00.000Z,137.252,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-25T00:00:00.000Z,139.092,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-26T00:00:00.000Z,139.763,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-27T00:00:00.000Z,140.347,consumer discretionary,7.73,10.66,66
